Título;Status;Descrição;Empreendimento;Etiqueta;Responsável;Fase;Tipo;Local;Prazo;Prioridade;Última alteração;Primeira alteração
7895-Esquadria;Ativa;-;Oscar Freire;Arquitetura, Estrutura;Henrique Figueiroa;Construção virtual 01;Inconsistência Técnica;Pavimento Semienterrado;-;NORMAL;Editado por Oscar Freire 06-05-2022 12:26;Criado por Oscar Freire 27-04-2022 10:40
6588-Nível;Ativa;-;Oscar Freire;Arquitetura;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Térreo;-;NORMAL;Editado por Poligonus Arquitetura 11-05-2022 11:33;Editado por Oscar Freire 27-04-2022 11:45
7895-Esquadria;Ativa;-;Oscar Freire;Arquitetura;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Tipo;-;SIMPLES;Editado por Poligonus Arquitetura 11-05-2022 11:11;Criado por Oscar Freire 27-04-2022 11:45
8840-Louça sanitária;Ativa;9873-Pilar;Oscar Freire;Arquitetura, Estrutura;Poligonus Arquitetura;Construção virtual 01;Conflito;Pavimento Tipo;-;CRÍTICO;Editado por Oscar Freire 11-05-2022 11:02;Editado por Oscar Freire 27-04-2022 12:44
7895-Esquadria;Ativa;9873-Pilar;Oscar Freire;Arquitetura;Poligonus Arquitetura;Construção virtual 01;Conflito;Pavimento Tipo;-;NORMAL;Editado por Poligonus Arquitetura 11-05-2022 10:18;Editado por Oscar Freire 27-04-2022 12:44
9873-Pilar;Ativa;-;Oscar Freire;Estrutura;Henrique Figueiroa;Construção virtual 01;Falha de representação;Pavimento Tipo;-;CRÍTICO;Editado por Oscar Freire 06-05-2022 12:26;Criado por Oscar Freire 27-04-2022 12:57
9604-Shaft;Ativa;-;Oscar Freire;Arquitetura, Estrutura;Henrique Figueiroa;Construção virtual 01;Ausência;Pavimento Tipo;-;NORMAL;Editado por Oscar Freire 06-05-2022 12:26;Criado por Oscar Freire 27-04-2022 14:15
9604-Shaft;Ativa;-;Oscar Freire;Arquitetura, Estrutura;Henrique Figueiroa;Construção virtual 01;Conflito;Pavimento Tipo;-;NORMAL;Editado por Oscar Freire 06-05-2022 12:32;Editado por Oscar Freire 27-04-2022 14:56
7373-Detalhe construtivo;Ativa;-;Oscar Freire;Arquitetura;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Tipo;-;SIMPLES;Reativado por Poligonus Arquitetura 11-05-2022 10:06;Criado por Oscar Freire 27-04-2022 14:56
9698-Quadro de esquadrias;Ativa;-;Oscar Freire;Arquitetura;Poligonus Arquitetura;Construção virtual 01;Conflito;Pavimento Tipo;-;CRÍTICO;Editado por Oscar Freire 11-05-2022 11:05;Criado por Oscar Freire 27-04-2022 15:21
