Título;Status;Descrição;Empreendimento;Etiqueta;Responsável;Fase;Tipo;Local;Prazo;Prioridade;Última alteração;Primeira alteração
8583-Corredor;Active;-;Noêmia Paraíso;Arquitetura;noemia paraiso;Construção virtual 01;Otimização;Pavimento Tipo;-;Simples;Edited by noemia paraiso 23-05-2022 08:12;Created by noemia paraiso 19-05-2022 00:53
6588-Nível;Active;-;Noêmia Paraíso;Estrutura;noemia paraiso;Construção virtual 01;Inconsistência Técnica;Cortes;-;Normal;Created by noemia paraiso 19-05-2022 10:45;Created by noemia paraiso 19-05-2022 10:45
4496-Viga;Active;-;Noêmia Paraíso;Arquitetura;noemia paraiso;Construção virtual 01;Sugestão;Pavimento Tipo;-;Normal;Edited by noemia paraiso 31-05-2022 10:22;Created by noemia paraiso 24-05-2022 05:56
6604-Vaga de estacionamento;Active;-;Noêmia Paraíso;Arquitetura;noemia paraiso;Construção virtual 01;Falha de representação;Geral;-;Normal;Edited by noemia paraiso 24-05-2022 05:56;Created by noemia paraiso 24-05-2022 05:56
4097-Informações do projeto;Active;-;Noêmia Paraíso;Arquitetura;noemia paraiso;Construção virtual 01;Inconsistência Técnica;Geral;-;Crítica;Edited by noemia paraiso 31-05-2022 09:57;Created by noemia paraiso 24-05-2022 05:56
6604-Vaga de estacionamento;Active;-;Noêmia Paraíso;Arquitetura;noemia paraiso;Construção virtual 01;Conflito;Pavimento Térreo;-;Normal;Edited by noemia paraiso 31-05-2022 09:57;Created by noemia paraiso 24-05-2022 05:56
2898-Rampa;Active;-;Noêmia Paraíso;Arquitetura;noemia paraiso;Construção virtual 01;Sugestão;Pavimento Térreo;-;Simples;Edited by noemia paraiso 31-05-2022 09:57;Created by noemia paraiso 24-05-2022 05:56
6604-Vaga de estacionamento;Active;-;Noêmia Paraíso;Arquitetura;noemia paraiso;Construção virtual 01;Otimização;Pavimento Vazado 01;-;Normal;Edited by noemia paraiso 31-05-2022 09:57;Created by noemia paraiso 24-05-2022 05:56
4097-Informações do projeto;Active;-;Noêmia Paraíso;Arquitetura;noemia paraiso;Construção virtual 01;Sugestão;Pavimento Térreo;-;Normal;Edited by noemia paraiso 24-05-2022 06:48;Created by noemia paraiso 24-05-2022 06:45
6604-Vaga de estacionamento;Active;-;Noêmia Paraíso;Arquitetura;noemia paraiso;Construção virtual 01;Inconsistência Técnica;Geral;-;Crítica;Edited by noemia paraiso 31-05-2022 09:57;Created by noemia paraiso 24-05-2022 06:45
9873-Pilar;Active;-;Noêmia Paraíso;Arquitetura;noemia paraiso;Construção virtual 01;Falha de representação;Pavimento Tipo;-;Normal;Edited by noemia paraiso 24-05-2022 13:50;Created by noemia paraiso 24-05-2022 06:45
7373-Detalhe construtivo;Active;-;Noêmia Paraíso;Arquitetura;noemia paraiso;Construção virtual 01;Otimização;-;-;Normal;Created by noemia paraiso 24-05-2022 06:45;Created by noemia paraiso 24-05-2022 06:45
