Título;Status;Descrição;Empreendimento;Etiqueta;Responsável;Fase;Tipo;Local;Prazo;Prioridade;Última alteração;Primeira alteração
Abertura do portão de garagem;Resolved;-;Max Derby 2;ARQUITETURA;Thais Oliveira;CONSTRUÇÃO VIRTUAL 1;SUGESTÃO;ÁREA COMUM;04-03-2022;NORMAL;Edited by Max Derby 2 23-05-2022 19:55;Created by Max Derby 2 04-03-2022 17:10
Locação de aquecedor de passagem;Active;-;Max Derby 2;ARQUITETURA;Unassigned;CONSTRUÇÃO VIRTUAL 1;INCONSISTÊNCIA TÉCNICA;PAVIMENTO TIPO;14-03-2022;CRÍTICA;Edited by Max Derby 2 23-05-2022 19:58;Created by Max Derby 2 14-03-2022 16:18
Reservatório de alimentação;Resolved;-;Max Derby 2;ARQUITETURA;Thais Oliveira;CONSTRUÇÃO VIRTUAL 1;DIVERGÊNCIA DE INFORMAÇÕES;ÁREA COMUM;14-03-2022;NORMAL;Resolved by Max Derby 2 16-05-2022 20:43;Created by Max Derby 2 14-03-2022 17:40
Vagas de estacionamento;Resolved;-;Max Derby 2;ARQUITETURA;Thais Oliveira;CONSTRUÇÃO VIRTUAL 1;INCONSISTÊNCIA TÉCNICA;ÁREA COMUM;14-03-2022;NORMAL;Resolved by Max Derby 2 16-05-2022 20:44;Created by Max Derby 2 14-03-2022 20:23
Tanque de retardo;Resolved;-;Max Derby 2;ARQUITETURA;Thais Oliveira;CONSTRUÇÃO VIRTUAL 1;DIVERGÊNCIA DE INFORMAÇÕES;ÁREA COMUM;14-03-2022;NORMAL;Resolved by Max Derby 2 23-05-2022 14:43;Created by Max Derby 2 14-03-2022 20:44
Relatório de Incêndio;Active;-;Max Derby 2;ARQUITETURA;Thais Oliveira;CONSTRUÇÃO VIRTUAL 1;DIVERGÊNCIA DE INFORMAÇÕES;PAVIMENTO TIPO;15-03-2022;NORMAL;Edited by Max Derby 2 23-05-2022 20:26;Created by Max Derby 2 15-03-2022 08:29
Sugestão de Shafts;Active;-;Max Derby 2;ARQUITETURA;Thais Oliveira;CONSTRUÇÃO VIRTUAL 1;DIVERGÊNCIA DE INFORMAÇÕES;ÁREA COMUM;15-03-2022;SIMPLES;Edited by Max Derby 2 21-05-2022 18:02;Created by Max Derby 2 15-03-2022 08:32
Acesso ao Barrilete;Closed;-;Max Derby 2;ARQUITETURA;Thais Oliveira;CONSTRUÇÃO VIRTUAL 1;AUSÊNCIA DE INFORMAÇÃO;PAVIMENTO ÁTICO;15-03-2022;SIMPLES;Edited by Max Derby 2 09-05-2022 09:24;Created by Max Derby 2 15-03-2022 08:39
9604 - Shaft;Resolved;-;Max Derby 2;ARQUITETURA;Thais Oliveira;CONSTRUÇÃO VIRTUAL 1;SUGESTÃO;PAVIMENTO TIPO;-;CRÍTICA;Resolved by Max Derby 2 16-05-2022 20:53;Created by Max Derby 2 31-03-2022 16:47
9700 Planta baixa diferente de isométrico/cortes/detalhes;Active;-;Max Derby 2;ARQUITETURA;Max Derby 2;CONSTRUÇÃO VIRTUAL 1;DIVERGÊNCIA DE INFORMAÇÕES;PAVIMENTO ÁTICO;21-05-2022;SIMPLES;Created by Max Derby 2 21-05-2022 17:29;Created by Max Derby 2 21-05-2022 17:29
4473 Incoerência na fachada;Active;-;Max Derby 2;ARQUITETURA;Max Derby 2;CONSTRUÇÃO VIRTUAL 1;DIVERGÊNCIA DE INFORMAÇÕES;FACHADA NORTE;21-05-2022;SIMPLES;Edited by Max Derby 2 21-05-2022 17:35;Created by Max Derby 2 21-05-2022 17:34
Reservatório de alimentação;Active;-;Max Derby 2;ARQUITETURA;Max Derby 2;CONSTRUÇÃO VIRTUAL 1;DIVERGÊNCIA DE INFORMAÇÕES;ÁREA COMUM;23-05-2022;SIMPLES;Created by Max Derby 2 23-05-2022 20:38;Created by Max Derby 2 23-05-2022 20:38
Verga de esquadrias;Active;-;Max Derby 2;ARQUITETURA, ESTRUTURA;Max Derby 2;CONSTRUÇÃO VIRTUAL 1;INCONSISTÊNCIA TÉCNICA;ÁREA COMUM;23-05-2022;NORMAL;Created by Max Derby 2 24-05-2022 13:44;Created by Max Derby 2 24-05-2022 13:44
9700-Planta baixa diferente de isométrico/cortes/detalhes;Active;-;Max Derby 2;ARQUITETURA;Max Derby 2;CONSTRUÇÃO VIRTUAL 1;DIVERGÊNCIA DE INFORMAÇÕES;CORTES;25-05-2022;SIMPLES;Edited by Max Derby 2 27-05-2022 10:27;Created by Max Derby 2 25-05-2022 09:10
3500-Laje;Active;-;Max Derby 2;ARQUITETURA;Max Derby 2;Undecided;INCONSISTÊNCIA TÉCNICA;PAVIMENTO TIPO;01-06-2022;SIMPLES;Created by Max Derby 2 01-06-2022 15:13;Created by Max Derby 2 01-06-2022 15:13
4496-Viga;Active;-;Max Derby 2;ESTRUTURA;Max Derby 2;CONSTRUÇÃO VIRTUAL 1;INCONSISTÊNCIA TÉCNICA;PAVIMENTO COBERTURA;01-06-2022;NORMAL;Created by Max Derby 2 01-06-2022 15:46;Created by Max Derby 2 01-06-2022 15:46
9604-Shaft;Active;-;Max Derby 2;ARQUITETURA, ESTRUTURA;Max Derby 2;CONSTRUÇÃO VIRTUAL 1;DIVERGÊNCIA DE INFORMAÇÕES;PAVIMENTO TIPO;01-06-2022;SIMPLES;Created by Max Derby 2 01-06-2022 15:54;Created by Max Derby 2 01-06-2022 15:54
